Designator,Mid X,Mid Y,Rotation,Layer
C91,146.25,-88.9,180.0,bottom
C92,139.9,-92.1,180.0,bottom
C93,136.845,-63.4,180.0,bottom
C94,133.54,-68.99,90.0,bottom
C95,135.07,-71.91,180.0,bottom
C96,143.225,-73.25,0.0,bottom
C97,143.25,-68.075,180.0,bottom
C98,133.6,-72.98,270.0,bottom
C99,134.575,-65.925,90.0,bottom
D1,201.56,-97.915,0.0,top
D2,134.9,-61.27,180.0,top
D3,178.075,-105.725,180.0,top
D4,134.4375,-132.175,180.0,top
FB1,99.88,-95.19,0.0,top
FB2,129.65,-99.475,90.0,top
J1,143.75,-98.875,0.0,top
J2,151.191075,-67.43,0.0,bottom
J4,150.82,-67.43,90.0,top
J7,152.325,-114.5,90.0,top
L1,135.0,-121.3,90.0,top
L2,135.0,-126.4,270.0,top
L3,145.775,-121.325,90.0,top
L4,145.775,-126.425,270.0,top
L6,135.2,-80.8,270.0,bottom
R1,108.62,-95.06,0.0,top
R10,139.35,-119.74,270.0,top
R11,141.27,-127.8,90.0,top
R12,140.27,-127.8,90.0,top
R13,140.95,-119.725,270.0,top
R14,140.95,-93.85,90.0,bottom
R16,156.02,-75.71,90.0,bottom
R17,144.925,-83.175,180.0,bottom
R18,144.925,-84.2,180.0,bottom
R19,194.95,-100.8,0.0,top
R2,143.8,-91.45,180.0,bottom
R20,197.86,-92.84,0.0,top
R21,197.86,-94.83,0.0,top
R22,197.86,-96.82,0.0,top
R23,148.3,-82.625,270.0,bottom
R24,197.86,-98.81,0.0,top
R25,140.815,-153.75,0.0,top
R26,140.815,-155.74,0.0,top
R27,197.86,-100.8,0.0,top
R28,152.45,-83.35,180.0,top
R29,144.425,-64.35,270.0,bottom
R3,148.6,-95.0,270.0,bottom
R30,145.0,-76.95,90.0,bottom
R31,147.03,-77.79,270.0,bottom
R32,143.25,-64.36,270.0,bottom
R33,140.45,-129.575,180.0,top
R34,142.915,-133.3,0.0,top
R35,140.4,-133.3,0.0,bottom
R36,142.1,-64.375,270.0,bottom
R37,139.075,-62.6,180.0,bottom
R38,145.59,-66.32,90.0,bottom
R39,144.07,-66.31,90.0,bottom
R4,138.275,-127.8,90.0,top
R40,142.75,-66.315,90.0,bottom
R41,141.0,-64.39,90.0,bottom
R42,148.68,-77.9,270.0,bottom
R43,104.98,-103.27,0.0,top
R45,139.0,-149.0,0.0,top
R46,139.0,-150.99,0.0,top
R47,177.96,-103.7,180.0,top
R48,145.01,-70.69,270.0,top
R49,144.525,-65.65,180.0,top
R5,139.27,-127.8,90.0,top
R51,134.75,-69.74,90.0,bottom
R52,137.55,-71.83,180.0,bottom
R53,139.475,-71.9,180.0,bottom
R54,140.975,-71.175,270.0,bottom
R55,143.95,-69.225,180.0,top
R56,143.975,-64.6,180.0,top
R57,185.71,-111.84,180.0,top
R58,150.5,-123.4075,180.0,top
R59,150.05,-119.8075,180.0,top
R6,141.925,-127.575,0.0,bottom
R60,148.575,-119.9725,270.0,top
R61,154.2,-119.9475,270.0,top
R62,152.715,-119.8,180.0,top
R65,138.11,-77.41,270.0,bottom
R7,142.27,-127.8,270.0,top
R75,134.14,-84.53,0.0,top
R76,137.15,-61.26,90.0,top
R77,136.675,-132.16,270.0,top
R8,142.03,-119.975,0.0,bottom
R9,141.95,-119.725,270.0,top
SW1,202.84,-94.12,0.0,top
U1,143.75,-97.5,180.0,top
U10,137.85,-67.38,270.0,top
U11,147.1,-77.85,90.0,top
U12,151.4,-121.6,0.0,top
U14,145.6125,-114.95,0.0,top
U15,145.6125,-111.875,0.0,top
U16,145.6125,-114.95,0.0,top
